customer_id,region,segment,ticket_date,ticket_text,source,grain,attribute_provenance
CUST-004,South,Corporate,2026-08-17,Requested refund due to shipping delay of 2 weeks beyond estimated date.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-004,South,Corporate,2026-08-17,"Reported a defective item in last shipment, replacement requested.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-009,West,Home Office,2026-08-10,Requested refund due to shipping delay of 2 weeks beyond estimated date.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-009,West,Home Office,2026-02-23,"Reported a defective item in last shipment, replacement requested.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-015,West,Consumer,2026-06-01,Flagged a billing discrepancy between invoice and quoted price.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-015,West,Consumer,2026-02-09,Requested refund due to shipping delay of 2 weeks beyond estimated date.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-001,East,Corporate,2026-08-24,"Customer complained about the recent price increase on renewal, considering switching providers.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-001,East,Corporate,2026-03-02,"Positive feedback on new product feature, no issue reported.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-007,South,Consumer,2026-01-12,"Reported a defective item in last shipment, replacement requested.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-006,Central,Home Office,2026-01-19,"Requested cancellation, citing better pricing from a competitor.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-006,Central,Home Office,2026-06-08,Asked about bulk order discount for upcoming corporate renewal.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-008,East,Consumer,2026-08-17,Flagged a billing discrepancy between invoice and quoted price.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-008,East,Consumer,2026-08-17,"Login issue resolved after password reset, no further action needed.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-014,South,Consumer,2026-07-06,Requested refund due to shipping delay of 2 weeks beyond estimated date.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-014,South,Consumer,2026-03-30,"Reported a defective item in last shipment, replacement requested.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-010,South,Consumer,2026-06-08,"Customer complained about the recent price increase on renewal, considering switching providers.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-011,West,Home Office,2026-08-03,Flagged a billing discrepancy between invoice and quoted price.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-005,Central,Home Office,2026-05-25,"Reported a defective item in last shipment, replacement requested.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-005,Central,Home Office,2026-05-25,Requested refund due to shipping delay of 2 weeks beyond estimated date.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-012,East,Home Office,2026-07-06,Complained that support response time has gotten slower this month.,support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-012,East,Home Office,2026-08-17,"Reported a defective item in last shipment, replacement requested.",support_tickets,event,"real ticket text, remapped to real Superstore customer_id + order window"
CUST-001,East,Corporate,2026-08-14,"Customer complained about the recent price increase on renewal, considering switching providers.",support_tickets_scenario_synthetic,event,"fully synthetic, written for demo scenario"
CUST-002,East,Corporate,2026-08-14,"Customer complained about the recent price increase on renewal, considering switching providers.",support_tickets_scenario_synthetic,event,"fully synthetic, written for demo scenario"
CUST-003,East,Corporate,2026-08-14,"Customer complained about the recent price increase on renewal, considering switching providers.",support_tickets_scenario_synthetic,event,"fully synthetic, written for demo scenario"
